,year,disaster,death_toll,damage_cost,main_article,location,notes
68,2007,Wildfires,14,0,California wildfires of October 2007,California,"Large fires burned out of control across southern California, fueled by unusually strong Santa Ana winds; worst around San Diego; caused evacuation of over one million people. Most fires accidental; some suspected arson."
69,2008,Tornado,59,"$1,200,000,000",2008 Super Tuesday tornado outbreak,"Tennessee, Arkansas, Kentucky, Alabama, and Illinois",Not Available
70,2009,Tsunami,31,0,2009 Samoa earthquake and tsunami,American Samoa and nearby islands,"189 total deaths, with 31 in American Samoa."
71,2010,Flood,20,0,June 2010 Arkansas floods,"Albert Pike Recreational Area (near Langley, Arkansas)",Not Available
72,2011,Tornado,160,"$69,000 – $3,000,000,000(2011)",2011 Joplin tornado,"Joplin, Missouri","part of the tornado outbreak sequence of May 21–26, 2011"
73,2011,Tornado,346,"~$11,000,000,000(2011)",2011 Super Outbreak,"Alabama, Tennessee, Mississippi, Georgia, Arkansas and Virginia",336 tornadoes
74,2011,Flood,20,"$2,000,000,000 – 4,000,000,000 [2][3]",2011 Mississippi River floods,Mississippi River Valley,Not Available
75,2012,Hurricane,147,"$75,000,000,000",Hurricane Sandy,Eastern US,Not Available
76,2012,Wildfires,6,0,2012 Colorado wildfires,Colorado,Not Available
77,2013,Blizzard,18,0,February 2013 nor'easter,Eastern US,Not Available
78,2013,Tornado,24,"$2,000,000,000",2013 Moore tornado,"Moore, Oklahoma",Not Available
79,2013,Flood,8,"$1,900,000,000",2013 Colorado floods,Colorado,Not Available
80,2014,Wildfire,19,0,Yarnell Hill Fire,"Yarnell, Arizona",Not Available
81,2014,Mudflow,43,0,2014 Oso mudslide,"Oso, Washington",Not Available
82,2014,Tornado,35,"$1,000,000,000",April 2014 tornado outbreak,"Nebraska, Louisiana, Oklahoma, Illinois, Florida, North Carolina",Not Available
83,2014,Snow storm,24,0,November 2014 North American winter storm,"Buffalo, New York, Great Lakes region",Not Available
84,2015,Flood,25,Billions,October 2015 North American storm complex,Carolinas,Not Available
85,2015,Flood,20,0,2015 Utah floods,Utah,Not Available
86,2015,Flood,46,0,2015 Texas–Oklahoma floods,"Texas, Kansas, Oklahoma",Not Available
87,2015,Wildfire,3,"$8,000,000,000",Okanogan Complex fire,"Okanogan County, Washington",Damage figure includes costs involved in the fighting of the fire.
88,2016,Blizzard,55,"$500,000,000",January 2016 United States blizzard,Southeast through Mid Atlantic to Northeast,Snowfall totals in excess of two feet (61 cm)
89,2016,Flood,23,0,2016 West Virginia flood,West Virginia,Not Available
90,2016,Flood,13,0,2016 Louisiana floods,Louisiana,Not Available
91,2016,Hurricane,49,"$15,090,000,000",Hurricane Matthew,"Florida, Georgia, The Carolinas",Not Available
92,2016,Wildfire,14,"$990,000,000",2016 Great Smoky Mountains wildfires,Tennessee,"Destroyed nearly 2,000 structures; burned nearly 18,000 acres."
93,2017,Hurricane,107,"$125,000,000,000",Hurricane Harvey,"Texas, Louisiana, Alabama","Hurricane Harvey began as a tropical storm in the Caribbean Sea before degenerating into a tropical wave, only to regenerate in the Gulf of Mexico and make landfall in Southwestern Texas as a Category 4 hurricane. Most of the damage from Harvey occurred after it had weakened, due to extreme prolonged rains dropping several feet of water that triggered unprecedented floods in a large swath of Southeastern Texas, with the worst of the flooding occurring in Houston. Hurricane Harvey is widely considered to be the worst flooding disaster in the United States since Hurricane Katrina in 2005, which it tied with as the costliest hurricane in history."
94,2017,Hurricane,134,"$64,760,000,000",Hurricane Irma,"Florida, South Carolina, Georgia, Puerto Rico","Hurricane Irma ravaged the northern Leeward Islands as an extremely powerful Category 5 hurricane before making landfall in the Florida Keys as a Category 4 hurricane, and in the mainland as a Category 3 hurricane. Irma caused widespread damage in Florida due to high winds and destructive floods. The Florida Keys were hit the hardest, with the vast majority of infrastructure there receiving some degree of damage, and at least 25% receiving major damage. Hurricane Irma also knocked out power to 73.33% of the state, or 7.7 million homes and businesses. Irma is the fifth costliest hurricane of all time."
95,2017,Hurricane,5740,"$91,610,000,000",Hurricane Maria,Florida and Puerto Rico,"After strengthening at a near record pace and affecting multiple islands in the eastern Caribbean Sea, Maria struck Puerto Rico as a high-end Category 4 hurricane, causing catastrophic damage to the US island due to extremely powerful winds and devastating floods. The hurricane also knocked out the entire power grid, triggering a near total island blackout. The lack of aid after the disaster caused a humanitarian crisis, the worst in the US since Hurricane Katrina, which lasted several months and had a dramatic effect on Puerto Rico's population. Maria is the third costliest hurricane in history, behind only Katrina and Harvey."
96,2018,Wildfire,88,"$16,500,000,000",Camp Fire,California,"The Camp Fire ravaged North California, destroying more than 18,000 structures. The Camp Fire was the worst fire in California to this date, and was fueled by large national forests. The campfire was started by electrical transmission lines owned and operated by Pacific Gas and Electricity."
